id,level
c1032fb4-0a2c-4f1a-92b9-7adb944707fb,45
363d3cd4-d152-4eb3-b5c6-40c274a2970e,26
90046bc8-7643-406b-9268-119c82dece56,19
40276e81-7b56-4a17-9bdc-fef97b7cc083,66
447dc7b5-cf37-4679-9479-699716dc8bd8,83
e480ebff-a813-43fd-a773-1ec30593d5a8,19
efacc2df-3330-4a6c-a9c8-ffe431d54232,57
7ef045d3-90ff-48d7-8f47-24daf2f91816,14
ffe8e36a-13f9-4a2d-9bd5-45de855b8bce,91
945a2ec5-2c97-44e0-b2c9-c3d34769acad,46
c1e7b1b7-60bd-4cb5-881f-fe561faede48,8
51c3b49f-278d-43d5-9093-289067161d89,23
de4e0836-21ec-400e-8025-86a1fc0ec192,53
98bf955a-35eb-48e4-98a4-ca3212ef92fd,86
570216f1-016c-4a74-84c5-c80421b4683d,2
1d8394e7-917c-42ee-b953-2c36d45fded9,73
7949d7d6-a72e-49c8-ba93-281b54b5fb51,50
742d023a-49eb-4f9b-baad-4d51b5947ffd,45
969f9a3c-9015-4454-9ea7-37bc2e20c5e2,42
d8aa62a9-b4f1-4f5f-b3fa-65feeb24ea23,31
b2571a51-b9d8-46b8-8273-1b0b7f218b6c,85
a8f3f672-96f2-414a-a024-08d65ebe4105,1
e4c354a5-6f1a-444b-9fbb-483821889a65,11
5cfb74d6-b2d5-4c6c-9223-ce89e66b9871,1
09f61b64-3159-42de-8ed3-55880fd79633,82
5c6cc000-7f91-42af-a15c-0e8e41976835,12
2fc3e928-1e80-4829-bf9f-d710b1b86607,66
8f198bdf-b278-42be-bf70-2545f31cd7a4,93
8653d145-3c98-43cd-b235-905b168d52d8,61
8d71b27c-cba2-4dde-aa05-3dbec7510c39,69
4e9f5a59-8ab3-4e4b-aec5-d293de980ad5,3
bbe17f0b-c836-486a-bd40-581a9332a236,87
b81af8dd-2144-4921-abfa-d088c201a53d,51
5fa8cb92-3bc9-4669-b90b-e45ef0a8cb13,74
bc0c7b31-2377-4bb5-b553-71484e3d58ce,28
604d1140-9317-4557-bc33-be934d07f3ad,60
62f4a377-1ca8-401b-90e1-172088c1a7a0,14
09fde398-e0d5-44bf-a381-971be5498e3b,72
4c69d3b2-a65e-44af-8e7d-f2e24b18615b,32
b83b4a39-84e1-4785-b8d7-6cdcd243fbb8,98
8085639b-57b2-4ac1-8796-3fbfff76d12f,74
96d28008-6756-4008-a7ff-8214bb1f0fba,19
7f67442a-c992-47c0-aebc-95b6e028ed33,79
1c2c3abc-01d8-4d2d-a7d6-3d57b8159438,66
d5d29145-c0cc-42ff-9592-4ac5e609c661,9
2091fd9b-81dc-440b-92e0-c0ca0d67f859,73
a8ecc970-4e77-469e-9e45-81a9e47533c7,74
d8d8113b-42d8-45c3-a4d8-70c95db84d79,16
5716ae5a-4cb6-4697-90ea-c54fff17a5b5,30
b7ed08cc-fd14-4547-bd39-c93380491ef2,4
d0d248a6-e7df-42a4-93b9-118fe66cc95c,48
1107ac6b-b680-42a8-8109-10e302817593,89
5074cb5d-6648-44f4-958e-bc1abf2910a8,91
b24e8cb1-2c9c-49c9-b668-f657129e84f2,69
264d8140-3bef-4321-9a74-f3d06cafcd0b,73
1964d5f8-912f-47ea-b0e7-729d08e7d8f9,55
edac91ff-9972-4bc3-9797-1ccafd5e71df,17
57c2b8da-4f94-446f-a071-fd350079ec2e,78
be3dd828-f414-4e47-a12a-c39c2526834c,33
371d58eb-13e8-472d-8293-825635c6c9ea,37
9949aa31-176b-4788-9929-649fee4f75f4,21
882dc156-ad12-45da-a71c-024c8fc2a8be,78
9c5ea375-cfb9-4a69-9b54-eab1fa7884bf,89
44b3aad0-a5c5-48b0-accf-1ddebee8cd63,74
cf88f393-bea3-4c6b-8d92-474520935f33,71
ea145345-8c27-49d6-821b-728662be167a,9
21cd2335-1ec8-4a1a-be72-3e6289eb06a4,73
cdb27c1a-a558-4898-b0d3-1580c431b3b0,99
1118dbc8-221f-40d8-8d25-282e77e39f30,80
601c84be-324a-4dd5-8608-161d69ac65ac,90
1f0c1a65-c914-4200-9975-973dd79e038a,1
8eb3c207-dd13-4373-95a8-345279fa0789,76
04a5b0fc-263d-40a5-a16c-936a529bb4de,10
146ca2ae-a945-47cc-919d-a08422539007,2
d6b46f7d-da32-42f7-838e-b7a5fd1e546a,15
6047be4f-09ff-4bdc-8520-b35e998dbb8f,96
70a9d330-59c5-4bdc-a3bd-7f5b0d192018,36
9cfd88f5-1c23-4d7d-8b7b-5407e233c33b,94
9f847128-a78a-40cd-a3e7-f33c8cf442b1,78
08174d1c-399b-498a-b501-6378b9a7da0a,36
cd7b5935-9991-4a0d-bd2e-ed34c81089a1,48
42d12d0f-caf8-4862-9c47-2ad32410850a,72
a688f6b8-a433-4f7d-881e-aad5369e9a0d,59
fe5e446f-d647-4a9a-9ab3-b6ea2a6f393b,43
9b123498-e10b-425a-9b3a-f09dbb4b2e38,91
9af7d83c-18e5-4f1d-a53f-f7c59ea6f230,80
e289ffa7-ae9d-4f98-a2b8-64461260a30a,86
70850895-d36e-4305-8ec7-dba6597e6c53,8
a5fd0d1c-0fa5-4534-883f-cb49749fcb33,46
c36c294f-87b5-43de-8b09-8a70ede6c450,54
1d2de9c1-a99f-4a5a-b30b-2193664ab1e9,89
1b755c97-da3f-49c2-b306-3fbd8fbf64cc,41
9254eca6-a7a7-40e8-95bb-c974bb229545,88
038ff176-5aca-4876-af74-3ee1fb1321a6,24
8e295021-ea09-4c3c-99bc-dcbe52c3b2ab,24
62829024-b248-4333-8de8-a2bad9cadc21,41
12d9fcd0-25d1-4dc9-9855-7054771731c5,9
8b5d2fe2-f71e-4b34-badb-98e9f21c6c0e,3
03110602-85df-41b2-895c-b9cc25e264f1,89
ddf6de6b-f1de-48eb-b8ef-c9f783b903eb,42
e66f3a5f-03d8-4c7a-a934-84d193995ecd,29
d025cd06-3d23-4dee-923d-07f0fac5de50,40
c02e545e-594e-4d99-8323-56d118a0b4f4,16
1810d685-72ac-42da-b7cc-13a36e29101b,16
0d453213-536a-4d15-b06a-ed7bc9f95da1,57
3fd3bed7-f40b-4949-a77e-e774f60dea82,19
fe744c4c-aff1-40e8-b9b9-d5ce77526199,39
11b25dbd-cd1d-4721-9d2d-1aea56c1a2f2,93
c66a8c53-bbcc-4e33-8a89-9974eafed39b,24
090a302d-01d7-4094-add0-8a2b3e68e6d5,80
702a4ddd-d8a4-4234-ab78-444cb59457ae,86
